Index	item_id	regexp	expt	list_id	stim_idx	s1_code	noun_code	noun_pos	article	adjective	noun	eeg_stim	item_id_pfx	expt_id	stim	orth_article_initial_cloze	orth_NA_noun_initial_cloze	orth_NA_noun_anywhere_cloze	lemma_NA_noun_initial_cloze	lemma_NA_noun_anywhere_cloze	orth_ART_noun_initial_cloze	orth_ART_noun_anywhere_cloze	lemma_ART_noun_initial_cloze	lemma_ART_noun_anywhere_cloze	lemma_context_anywhere_info	lemma_context_initial_info	lemma_modal_anywhere	lemma_modal_anywhere_cloze	lemma_modal_initial	lemma_modal_initial_character_classes	lemma_modal_initial_cloze	lemma_n_NAs	lemma_n_responses	lemma_n_strings	orth_context_anywhere_info	orth_context_initial_info	orth_modal_anywhere	orth_modal_anywhere_cloze	orth_modal_initial	orth_modal_initial_character_classes	orth_modal_initial_cloze	orth_n_NAs	orth_n_responses	orth_n_strings	topic_n_NA	topic_n_consonants	topic_n_vowels
i006_1_an_NA_apology	i006_1_an_NA_apology	(#\d{1,3}) 2 10063	eeg_1	eeg_1_a	6	NA	10063	14	an	NA	apology	The bakery did not accept credit cards so Peter would have to write an apology to the owner.	i006_1_an	norm_2	The bakery did not accept credit cards so Peter would have to write an	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.134	0.169	[check]	0.356	[iou]	[vowel]	0.300	0.000	30.000	59.000	0.134	0.169	[check]	0.339	[IOU]	[vowel]	0.300	0.000	30.000	59.000	2.000	28.000	0.000
i006_1_a__NA_check	i006_1_a__NA_check	(#\d{1,3}) 2 10062	eeg_1	eeg_1_b	6	NA	10062	14	a	NA	check	The bakery did not accept credit cards so Peter would have to write a check to the owner.	i006_1_a_	norm_2	The bakery did not accept credit cards so Peter would have to write a	0.929	0.036	0.964	0.071	1.000	1.000	1.000	1.000	1.000	1.000	1.000	[check]	1.000	[check]	[consonant]	1.000	0.000	30.000	30.000	1.000	1.000	[check]	1.000	[check]	[consonant]	1.000	0.000	30.000	30.000	2.000	28.000	0.000
i007_1_a__NA_kite	i007_1_a__NA_kite	(#\d{1,3}) 2 10074	eeg_1	eeg_1_a	7	NA	10074	21	a	NA	kite	Although the idea of flight was as old as the hills, the Wright Brothers were the first people to build a kite that actually flew.	i007_1_a_	norm_2	Although the idea of flight was as old as the hills, the Wright Brothers were the first people to build a	0.393	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.168	0.158	[airplane]	0.306	[plane]	[consonant]	0.333	0.000	30.000	49.000	0.168	0.158	[airplane]	0.306	[plane]	[consonant]	0.333	0.000	30.000	49.000	2.000	11.000	17.000
i007_1_an_NA_airplane	i007_1_an_NA_airplane	(#\d{1,3}) 2 10071	eeg_1	eeg_1_b	7	NA	10071	21	an	NA	airplane	Although the idea of flight was as old as the hills, the Wright Brothers were the first people to build an airplane that actually flew.	i007_1_an	norm_2	Although the idea of flight was as old as the hills, the Wright Brothers were the first people to build an	0.500	0.000	0.607	0.071	0.679	0.867	0.933	0.867	0.933	0.428	0.641	[airplane]	0.718	[airplane]	[vowel]	0.867	0.000	30.000	39.000	0.428	0.641	[airplane]	0.718	[airplane]	[vowel]	0.867	0.000	30.000	39.000	2.000	11.000	17.000
i008_1_an_NA_airplane	i008_1_an_NA_airplane	(#\d{1,3}) 2 10083	eeg_1	eeg_1_a	8	NA	10083	12	an	NA	airplane	The day was breezy so the boys went outside to fly an airplane in the park.	i008_1_an	norm_2	The day was breezy so the boys went outside to a fly an	0.000	0.000	0.000	0.000	0.000	0.267	0.300	0.267	0.300	0.173	0.107	[kite]	0.339	[airplane]	[vowel]	0.267	0.000	30.000	59.000	0.173	0.107	[kite]	0.339	[airplane]	[vowel]	0.267	0.000	30.000	59.000	2.000	28.000	0.000
i008_1_a__NA_kite	i008_1_a__NA_kite	(#\d{1,3}) 2 10082	eeg_1	eeg_1_b	8	NA	10082	12	a	NA	kite	The day was breezy so the boys went outside to fly a kite in the park.	i008_1_a_	norm_2	The day was breezy so the boys went outside to a fly a	0.857	0.107	0.964	0.143	1.000	1.000	1.000	1.000	1.000	1.000	1.000	[kite]	1.000	[kite]	[consonant]	1.000	0.000	30.000	30.000	1.000	1.000	[kite]	1.000	[kite]	[consonant]	1.000	0.000	30.000	30.000	2.000	28.000	0.000
i009_1_an_NA_echo	i009_1_an_NA_echo	(#\d{1,3}) 2 10091	eeg_1	eeg_1_a	9	NA	10091	11	an	NA	echo	Surrounded by mountains, Lola shouted across the valley and heard an echo in the distance.	i009_1_an	norm_2	Surrounded by mountains, Lola shouted across the valley and heard an	0.571	0.000	0.714	0.286	1.000	1.000	1.000	1.000	1.000	1.000	1.000	[echo]	1.000	[echo]	[vowel]	1.000	0.000	30.000	30.000	1.000	1.000	[echo]	1.000	[echo]	[vowel]	1.000	0.000	30.000	30.000	2.000	0.000	28.000
i009_1_a__NA_bird	i009_1_a__NA_bird	(#\d{1,3}) 2 10094	eeg_1	eeg_1_b	9	NA	10094	11	a	NA	bird	Surrounded by mountains, Lola shouted across the valley and heard a bird in the distance.	i009_1_a_	norm_2	Surrounded by mountains, Lola shouted across the valley and heard a	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.186	0.146	[echo]	0.446	[echo]	[vowel]	0.267	0.000	30.000	56.000	0.189	0.151	[echo]	0.446	[echo]	[vowel]	0.267	0.000	30.000	56.000	2.000	0.000	28.000
i010_1_a__NA_bird	i010_1_a__NA_bird	(#\d{1,3}) 2 10102	eeg_1	eeg_1_a	10	NA	10102	8	a	NA	bird	The tweeting in the treetops sounded like a bird to Melissa.	i010_1_a_	norm_2	The tweeting in the treetops sounded like a	0.379	0.000	0.310	0.414	0.828	0.833	0.833	0.833	0.900	0.418	0.599	[bird]	0.711	[bird]	[consonant]	0.833	0.000	30.000	38.000	0.418	0.599	[bird]	0.658	[bird]	[consonant]	0.833	0.000	30.000	38.000	1.000	29.000	0.000
i010_1_an_NA_echo	i010_1_an_NA_echo	(#\d{1,3}) 2 10103	eeg_1	eeg_1_b	10	NA	10103	8	an	NA	echo	The tweeting in the treetops sounded like an echo to Melissa.	i010_1_an	norm_2	The tweeting in the treetops sounded like an	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.067	0.032	[bird]	0.263	[owl]	[vowel]	0.133	0.000	30.000	57.000	0.067	0.032	[bird]	0.211	[owl]	[vowel]	0.133	0.000	30.000	57.000	1.000	29.000	0.000
i011_1_an_NA_octopus	i011_1_an_NA_octopus	(#\d{1,3}) 2 10111	eeg_1	eeg_1_a	11	NA	10111	18	an	NA	octopus	When the scuba diver saw the tentacle, he quickly realized that the creature under the rock was an octopus in hiding.	i011_1_an	norm_2	When the scuba diver saw the tentacle, he quickly realized that the creature under the rock was an	0.714	0.036	0.750	0.036	0.750	0.833	0.833	0.833	0.833	0.561	0.561	[octopus]	0.833	[octopus]	[vowel]	0.833	0.000	30.000	30.000	0.561	0.561	[octopus]	0.833	[octopus]	[vowel]	0.833	0.000	30.000	30.000	2.000	6.000	22.000
i011_1_a__NA_fish	i011_1_a__NA_fish	(#\d{1,3}) 2 10114	eeg_1	eeg_1_b	11	NA	10114	18	a	NA	fish	When the scuba diver saw the tentacle, he quickly realized that the creature under the rock was a fish in hiding.	i011_1_a_	norm_2	When the scuba diver saw the tentacle, he quickly realized that the creature under the rock was a	0.107	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.101	0.076	[octopus]	0.269	[squid]	[consonant]	0.167	0.000	30.000	52.000	0.101	0.076	[octopus]	0.269	[squid]	[consonant]	0.167	0.000	30.000	52.000	2.000	6.000	22.000
i012_1_a__NA_fish	i012_1_a__NA_fish	(#\d{1,3}) 2 10122	eeg_1	eeg_1_a	12	NA	10122	17	a	NA	fish	Marge hated baiting the hook, but she knew that it was the only way to catch a fish without using a lure.	i012_1_a_	norm_2	Marge hated baiting the hook, but she knew that it was the only way to catch a	0.533	0.333	0.900	0.367	0.933	0.933	0.967	0.933	0.967	0.694	0.735	[fish]	0.935	[fish]	[consonant]	0.933	0.000	30.000	31.000	0.694	0.735	[fish]	0.935	[fish]	[consonant]	0.933	0.000	30.000	31.000	0.000	29.000	1.000
i012_1_an_NA_octopus	i012_1_an_NA_octopus	(#\d{1,3}) 2 10123	eeg_1	eeg_1_b	12	NA	10123	17	an	NA	octopus	Marge hated baiting the hook, but she knew that it was the only way to catch an octopus without using a lure.	i012_1_an	norm_2	Marge hated baiting the hook, but she knew that it was the only way to catch an	0.000	0.000	0.000	0.000	0.000	0.033	0.033	0.033	0.033	0.116	0.055	[fish]	0.340	[albacore, fish]	[vowel, consonant]	0.133	0.000	30.000	50.000	0.116	0.055	[fish]	0.340	[albacore, fish]	[vowel, consonant]	0.133	0.000	30.000	50.000	0.000	29.000	1.000
i015_1_a__NA_student	i015_1_a__NA_student	(#\d{1,3}) 2 10154	eeg_1	eeg_1_a	15	NA	10154	13	a	NA	student	On a street corner in Paris Kim had her portrait painted by a student for three francs.	i015_1_a_	norm_2	On a street corner in Paris Kim had her portrait painted by a	0.233	0.000	0.000	0.000	0.000	0.000	0.033	0.000	0.033	0.152	0.088	[artist]	0.375	[painter]	[consonant]	0.200	0.000	30.000	48.000	0.152	0.088	[artist]	0.375	[painter]	[consonant]	0.200	0.000	30.000	48.000	0.000	8.000	22.000
i015_1_an_NA_artist	i015_1_an_NA_artist	(#\d{1,3}) 2 10151	eeg_1	eeg_1_b	15	NA	10151	13	an	NA	artist	On a street corner in Paris Kim had her portrait painted by an artist for three francs.	i015_1_an	norm_2	On a street corner in Paris Kim had her portrait painted by an	0.700	0.000	0.833	0.000	0.833	0.933	0.933	0.933	0.933	0.694	0.735	[artist]	0.903	[artist]	[vowel]	0.933	0.000	30.000	31.000	0.694	0.735	[artist]	0.903	[artist]	[vowel]	0.933	0.000	30.000	31.000	0.000	8.000	22.000
i016_1_an_NA_artist	i016_1_an_NA_artist	(#\d{1,3}) 2 10163	eeg_1	eeg_1_a	16	NA	10163	19	an	NA	artist	Betsy had no desire to enter the working world, so decided to stay at the university and remain an artist for a few more semesters.	i016_1_an	norm_2	Betsy had no desire to enter the working world, so decided to stay at the university and remain an	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.248	0.343	[undergraduate]	0.346	[undergraduate]	[vowel]	0.600	0.000	30.000	52.000	0.248	0.343	[undergraduate]	0.346	[undergraduate]	[vowel]	0.600	0.000	30.000	52.000	1.000	27.000	2.000
i016_1_a__NA_student	i016_1_a__NA_student	(#\d{1,3}) 2 10162	eeg_1	eeg_1_b	16	NA	10162	19	a	NA	student	Betsy had no desire to enter the working world, so decided to stay at the university and remain a student for a few more semesters.	i016_1_a_	norm_2	Betsy had no desire to enter the working world, so decided to stay at the university and remain a	0.759	0.034	0.828	0.034	0.828	0.933	1.000	0.933	1.000	0.634	0.735	[student]	0.938	[student]	[consonant]	0.933	0.000	30.000	32.000	0.634	0.735	[student]	0.938	[student]	[consonant]	0.933	0.000	30.000	32.000	1.000	27.000	2.000
i019_1_a__NA_book	i019_1_a__NA_book	(#\d{1,3}) 2 10194	eeg_1	eeg_1_a	19	NA	10194	24	a	NA	book	Her grandfather always stressed how important it was for Sophia to go to school, because he had never had the opportunity to receive a book while growing up.	i019_1_a_	norm_2	Her grandfather always stressed how important it was for Sophia to go to school, because he had never had the opportunity to receive a	0.300	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.139	0.101	[education]	0.349	[degree, diploma]	[consonant, consonant]	0.233	0.000	30.000	43.000	0.139	0.101	[education]	0.349	[degree, diploma]	[consonant, consonant]	0.233	0.000	30.000	43.000	0.000	8.000	22.000
i019_1_an_NA_education	i019_1_an_NA_education	(#\d{1,3}) 2 10191	eeg_1	eeg_1_b	19	NA	10191	24	an	NA	education	Her grandfather always stressed how important it was for Sophia to go to school, because he had never had the opportunity to receive an education while growing up.	i019_1_an	norm_2	Her grandfather always stressed how important it was for Sophia to go to school, because he had never had the opportunity to receive an	0.600	0.100	0.733	0.100	0.733	0.833	0.867	0.833	0.867	0.358	0.599	[education]	0.605	[education]	[vowel]	0.833	0.000	30.000	43.000	0.358	0.599	[education]	0.605	[education]	[vowel]	0.833	0.000	30.000	43.000	0.000	8.000	22.000
i020_1_an_NA_education	i020_1_an_NA_education	(#\d{1,3}) 2 10203	eeg_1	eeg_1_a	20	NA	10203	16	an	NA	education	James is an avid reader, so for his birthday his sister decided to give him an education about Africa.	i020_1_an	norm_2	James is an avid reader, so for his birthday his sister decided to give him an	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.049	0.053	[book]	0.162	[encyclopedia]	[vowel]	0.167	0.000	30.000	74.000	0.055	0.074	[book]	0.135	[autographed, encyclopedia]	[vowel, vowel]	0.167	0.000	30.000	74.000	1.000	29.000	0.000
i020_1_a__NA_book	i020_1_a__NA_book	(#\d{1,3}) 2 10202	eeg_1	eeg_1_b	20	NA	10202	16	a	NA	book	James is an avid reader, so for his birthday his sister decided to give him a book about Africa.	i020_1_a_	norm_2	James is an avid reader, so for his birthday his sister decided to give him a	0.828	0.000	0.793	0.138	0.966	0.833	0.833	0.833	0.900	0.404	0.599	[book]	0.692	[book]	[consonant]	0.833	0.000	30.000	39.000	0.404	0.599	[book]	0.641	[book]	[consonant]	0.833	0.000	30.000	39.000	1.000	29.000	0.000
i021_1_an_NA_election	i021_1_an_NA_election	(#\d{1,3}) 2 10211	eeg_1	eeg_1_a	21	NA	10211	17	an	NA	election	When the representative retired in the middle of his term, the state was forced to hold an election in his district.	i021_1_an	norm_2	When the representative retired in the middle of his term, the state was forced to hold an	0.586	0.034	0.655	0.103	0.724	0.667	0.867	0.667	0.867	0.238	0.382	[election]	0.591	[election]	[vowel]	0.667	0.000	30.000	44.000	0.238	0.382	[election]	0.591	[election]	[vowel]	0.667	0.000	30.000	44.000	1.000	6.000	23.000
i021_1_a__NA_parade	i021_1_a__NA_parade	(#\d{1,3}) 2 10214	eeg_1	eeg_1_b	21	NA	10214	17	a	NA	parade	When the representative retired in the middle of his term, the state was forced to hold a parade in his district.	i021_1_a_	norm_2	When the representative retired in the middle of his term, the state was forced to hold a	0.172	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.086	0.060	[election]	0.290	[election, meet, new]	[vowel, consonant, consonant]	0.133	0.000	30.000	62.000	0.087	0.060	[election]	0.290	[election, meeting, new]	[vowel, consonant, consonant]	0.133	0.000	30.000	62.000	1.000	6.000	23.000
i022_1_a__NA_parade	i022_1_a__NA_parade	(#\d{1,3}) 2 10222	eeg_1	eeg_1_a	22	NA	10222	12	a	NA	parade	Without the floats and the marching bands it wasn't much of a parade this year.	i022_1_a_	norm_2	Without the floats and the marching bands it wasn't much of a	0.857	0.107	0.893	0.107	0.893	0.867	0.867	0.867	0.867	0.617	0.617	[parade]	0.867	[parade]	[consonant]	0.867	0.000	30.000	30.000	0.617	0.617	[parade]	0.867	[parade]	[consonant]	0.867	0.000	30.000	30.000	2.000	28.000	0.000
i022_1_an_NA_election	i022_1_an_NA_election	(#\d{1,3}) 2 10223	eeg_1	eeg_1_b	22	NA	10223	12	an	NA	election	Without the floats and the marching bands it wasn't much of an election this year.	i022_1_an	norm_2	Without the floats and the marching bands it wasn't much of an	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.189	0.159	[parade]	0.370	[exciting]	[vowel]	0.300	0.000	30.000	46.000	0.189	0.159	[parade]	0.370	[exciting]	[vowel]	0.300	0.000	30.000	46.000	2.000	28.000	0.000
i023_1_a__NA_fight	i023_1_a__NA_fight	(#\d{1,3}) 2 10234	eeg_1	eeg_1_a	23	NA	10234	20	a	NA	fight	When her husband started staying late at the office every night, Joanne began to suspect that he was having a fight with someone at work.	i023_1_a_	norm_2	When her husband started staying late at the office every night, Joanne began to suspect that he was having a	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.049	0.068	[affair]	0.165	[affair]	[vowel]	0.167	0.000	30.000	85.000	0.049	0.068	[affair]	0.165	[affair]	[vowel]	0.167	0.000	30.000	85.000	2.000	0.000	28.000
i023_1_an_NA_affair	i023_1_an_NA_affair	(#\d{1,3}) 2 10231	eeg_1	eeg_1_b	23	NA	10231	20	an	NA	affair	When her husband started staying late at the office every night, Joanne began to suspect that he was having an affair with someone at work.	i023_1_an	norm_2	When her husband started staying late at the office every night, Joanne began to suspect that he was having an	0.964	0.036	1.000	0.036	1.000	1.000	1.000	1.000	1.000	1.000	1.000	[affair]	1.000	[affair]	[vowel]	1.000	0.000	30.000	30.000	1.000	1.000	[affair]	1.000	[affair]	[vowel]	1.000	0.000	30.000	30.000	2.000	0.000	28.000
i024_1_an_NA_affair	i024_1_an_NA_affair	(#\d{1,3}) 2 10243	eeg_1	eeg_1_a	24	NA	10243	16	an	NA	affair	Whenever Josh had too much to drink, he became belligerent and would try to start an affair with someone in the bar.	i024_1_an	norm_2	Whenever Josh had too much to drink, he became belligerent and would try to start an	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.252	0.373	[argument]	0.463	[argument]	[vowel]	0.633	0.000	30.000	41.000	0.252	0.373	[argument]	0.463	[argument]	[vowel]	0.633	0.000	30.000	41.000	1.000	27.000	2.000
i024_1_a__NA_fight	i024_1_a__NA_fight	(#\d{1,3}) 2 10242	eeg_1	eeg_1_b	24	NA	10242	16	a	NA	fight	Whenever Josh had too much to drink, he became belligerent and would try to start a fight with someone in the bar.	i024_1_a_	norm_2	Whenever Josh had too much to drink, he became belligerent and would try to start a	0.586	0.034	0.621	0.207	0.793	0.867	0.867	0.867	0.867	0.544	0.617	[fight]	0.788	[fight]	[consonant]	0.867	0.000	30.000	33.000	0.544	0.617	[fight]	0.788	[fight]	[consonant]	0.867	0.000	30.000	33.000	1.000	27.000	2.000
i025_1_an_NA_allowance	i025_1_an_NA_allowance	(#\d{1,3}) 2 10251	eeg_1	eeg_1_a	25	NA	10251	30	an	NA	allowance	Instead of giving her money whenever she asked for it, Rachel's father thought that it would be a real lesson in economics for her if every week she received an allowance to spend as she wished.	i025_1_an	norm_2	Instead of giving her money whenever she asked for it, Rachel's father thought that it would be a real lesson in economics for her if every week she received an	0.724	0.138	0.862	0.138	0.862	0.967	0.967	0.967	0.967	0.607	0.789	[allowance]	0.829	[allowance]	[vowel]	0.967	0.000	30.000	35.000	0.607	0.789	[allowance]	0.829	[allowance]	[vowel]	0.967	0.000	30.000	35.000	1.000	4.000	25.000
i025_1_a__NA_dollar	i025_1_a__NA_dollar	(#\d{1,3}) 2 10254	eeg_1	eeg_1_b	25	NA	10254	30	a	NA	dollar	Instead of giving her money whenever she asked for it, Rachel's father thought that it would be a real lesson in economics for her if every week she received a dollar to spend as she wished.	i025_1_a_	norm_2	Instead of giving her money whenever she asked for it, Rachel's father thought that it would be a real lesson in economics for her if every week she received a	0.103	0.000	0.000	0.000	0.000	0.000	0.067	0.000	0.100	0.092	0.063	[allowance]	0.281	[set]	[consonant]	0.167	0.000	30.000	64.000	0.092	0.063	[allowance]	0.281	[set]	[consonant]	0.167	0.000	30.000	64.000	1.000	4.000	25.000
i026_1_a__NA_dollar	i026_1_a__NA_dollar	(#\d{1,3}) 2 10262	eeg_1	eeg_1_a	26	NA	10262	19	a	NA	dollar	Andrew complained that the only place he could afford was the 99-cent store, after his grandmother gave him a dollar for helping her.	i026_1_a_	norm_2	Andrew complained that the only place he could afford was the 99-cent store, after his grandmother gave him a	0.767	0.000	0.800	0.000	0.800	0.700	0.767	0.700	0.767	0.193	0.434	[dollar]	0.411	[dollar]	[consonant]	0.700	0.000	30.000	56.000	0.193	0.434	[dollar]	0.411	[dollar]	[consonant]	0.700	0.000	30.000	56.000	0.000	29.000	1.000
i026_1_an_NA_allowance	i026_1_an_NA_allowance	(#\d{1,3}) 2 10263	eeg_1	eeg_1_b	26	NA	10263	19	an	NA	allowance	Andrew complained that the only place he could afford was the 99-cent store, after his grandmother gave him an allowance for helping her.	i026_1_an	norm_2	Andrew complained that the only place he could afford was the 99-cent store, after his grandmother gave him an	0.000	0.000	0.033	0.000	0.033	0.233	0.300	0.233	0.300	0.044	0.105	[dollar]	0.145	[allowance]	[vowel]	0.233	0.000	30.000	83.000	0.044	0.105	[dollar]	0.133	[allowance]	[vowel]	0.233	0.000	30.000	83.000	0.000	29.000	1.000
i029_1_a__NA_fire	i029_1_a__NA_fire	(#\d{1,3}) 2 10294	eeg_1	eeg_1_b	29	NA	10294	24	a	NA	fire	When she was filled out the paperwork, Merrill had to write down the name of someone who could be contacted in case of a fire while she was at work.	i029_1_a_	norm_2	When she filled out the paperwork, Merrill had to write down the name of someone who could be contacted in case of a	0.000	0.000	0.000	0.000	0.000	0.033	0.033	0.033	0.033	0.145	0.089	[emergency]	0.389	[problem]	[consonant]	0.200	0.000	30.000	54.000	0.145	0.089	[emergency]	0.370	[problem]	[consonant]	0.200	0.000	30.000	54.000	1.000	0.000	29.000
