Index	item_id	regexp	expt	list_id	stim_idx	s1_code	noun_code	noun_pos	article	adjective	noun	eeg_stim	item_id_pfx	expt_id	stim	orth_article_initial_cloze	orth_NA_noun_initial_cloze	orth_NA_noun_anywhere_cloze	lemma_NA_noun_initial_cloze	lemma_NA_noun_anywhere_cloze	orth_ART_noun_initial_cloze	orth_ART_noun_anywhere_cloze	lemma_ART_noun_initial_cloze	lemma_ART_noun_anywhere_cloze	lemma_context_anywhere_info	lemma_context_initial_info	lemma_modal_anywhere	lemma_modal_anywhere_cloze	lemma_modal_initial	lemma_modal_initial_character_classes	lemma_modal_initial_cloze	lemma_n_NAs	lemma_n_responses	lemma_n_strings	orth_context_anywhere_info	orth_context_initial_info	orth_modal_anywhere	orth_modal_anywhere_cloze	orth_modal_initial	orth_modal_initial_character_classes	orth_modal_initial_cloze	orth_n_NAs	orth_n_responses	orth_n_strings	topic_n_NA	topic_n_consonants	topic_n_vowels
i006_2_a__NA_stutter	i006_2_a__NA_stutter	(#\d{1,3}) 2 10061	eeg_3	eeg_3_a	6	30060	10061	8	a	NA	stutter	"Katie did not like to say words with the letter ""s"". She was embarrassed because she spoke with a stutter that was noticeable."	i006_2_a_	norm_4	"Katie did not like to say words with the letter ""s"". She was embarrassed because she spoke with a"	0.968	0.000	0.032	0.000	0.032	0.032	0.032	0.032	0.032	0.701	0.742	[lisp]	0.938	[lisp]	[consonant]	0.935	1.000	31.000	32.000	0.701	0.742	[lisp]	0.938	[lisp]	[consonant]	0.935	1.000	31.000	32.000	1.000	30.000	1.000
i006_2_an_NA_impediment	i006_2_an_NA_impediment	(#\d{1,3}) 2 10062	eeg_3	eeg_3_b	6	30060	10062	8	an	NA	impediment	"Katie did not like to say words with the letter ""s"". She was embarrassed because she spoke with an impediment that was noticeable."	i006_2_an	norm_4	"Katie did not like to say words with the letter ""s"". She was embarrassed because she spoke with an"	0.032	0.000	0.032	0.000	0.032	0.065	0.097	0.065	0.097	0.223	0.104	[lisp]	0.386	[obvious]	[vowel]	0.226	0.000	31.000	57.000	0.223	0.104	[lisp]	0.386	[obvious]	[vowel]	0.226	0.000	31.000	57.000	1.000	30.000	1.000
i007_2_an_NA_apron	i007_2_an_NA_apron	(#\d{1,3}) 2 10072	eeg_3	eeg_3_a	7	30070	10072	7	an	NA	apron	Jesse did not want to splatter grease on her new blouse while she was cooking. To protect her clothes she wore an apron over her suit.	i007_2_an	norm_4	Jesse did not want to splatter grease on her new blouse while she was cooking. To protect her clothes she wore an	0.968	0.000	0.968	0.000	0.968	0.938	0.938	0.938	0.938	0.708	0.748	[apron]	0.909	[apron]	[vowel]	0.938	0.000	32.000	33.000	0.708	0.748	[apron]	0.909	[apron]	[vowel]	0.938	0.000	32.000	33.000	1.000	1.000	30.000
i007_2_a__NA_coat	i007_2_a__NA_coat	(#\d{1,3}) 2 10071	eeg_3	eeg_3_b	7	30070	10071	7	a	NA	coat	Jesse did not want to splatter grease on her new blouse while she was cooking. To protect her clothes she wore a coat over her suit.	i007_2_a_	norm_4	Jesse did not want to splatter grease on her new blouse while she was cooking. To protect her clothes she wore a	0.032	0.000	0.000	0.000	0.000	0.032	0.097	0.032	0.097	0.137	0.037	[apron]	0.338	[white]	[consonant]	0.129	0.000	31.000	71.000	0.137	0.037	[apron]	0.338	[white]	[consonant]	0.129	0.000	31.000	71.000	1.000	1.000	30.000
i008_2_a__NA_microphone	i008_2_a__NA_microphone	(#\d{1,3}) 2 10081	eeg_3	eeg_3_a	8	30080	10081	10	a	NA	microphone	Laura wasn't loud enough to be heard by the audience. To amplify her voice they asked her to wear a microphone on stage.	i008_2_a_	norm_4	Laura wasn't loud enough to be heard by the audience. To amplify her voice they asked her to wear a	1.000	0.000	1.000	0.000	1.000	0.906	0.938	0.906	0.938	0.666	0.701	[microphone]	0.909	[microphone]	[consonant]	0.906	0.000	32.000	33.000	0.666	0.701	[microphone]	0.909	[microphone]	[consonant]	0.906	0.000	32.000	33.000	1.000	31.000	0.000
i008_2_an_NA_earpiece	i008_2_an_NA_earpiece	(#\d{1,3}) 2 10082	eeg_3	eeg_3_b	8	30080	10082	10	an	NA	earpiece	Laura wasn't loud enough to be heard by the audience. To amplify her voice they asked her to wear an earpiece on stage.	i008_2_an	norm_4	Laura wasn't loud enough to be heard by the audience. To amplify her voice they asked her to wear an	0.000	0.000	0.000	0.000	0.000	0.100	0.100	0.100	0.100	0.177	0.053	[microphone]	0.369	[amplify]	[vowel]	0.167	1.000	30.000	65.000	0.177	0.053	[microphone]	0.369	[amplifying]	[vowel]	0.167	1.000	30.000	65.000	1.000	31.000	0.000
i009_2_an_NA_explanation	i009_2_an_NA_explanation	(#\d{1,3}) 2 10092	eeg_3	eeg_3_a	9	30090	10092	6	an	NA	explanation	Dale was very sorry for what he had said to Bernadette. He knew he owed her an explanation because she was upset.	i009_2_an	norm_4	Dale was very sorry for what he had said to Bernadette. He knew he owed her an	0.871	0.000	0.032	0.000	0.032	0.032	0.032	0.032	0.032	0.794	0.794	[apology]	0.968	[apology]	[vowel]	0.968	1.000	31.000	31.000	0.794	0.794	[apology]	0.968	[apology]	[vowel]	0.968	1.000	31.000	31.000	1.000	3.000	28.000
i009_2_a__NA_kiss	i009_2_a__NA_kiss	(#\d{1,3}) 2 10091	eeg_3	eeg_3_b	9	30090	10091	6	a	NA	kiss	Dale was very sorry for what he had said to Bernadette. He knew he owed her a kiss because she was upset.	i009_2_a_	norm_4	Dale was very sorry for what he had said to Bernadette. He knew he owed her a	0.032	0.000	0.000	0.000	0.000	0.033	0.033	0.033	0.033	0.263	0.165	[apology]	0.419	[sincere]	[consonant]	0.333	1.000	30.000	62.000	0.263	0.165	[apology]	0.419	[sincere]	[consonant]	0.333	1.000	30.000	62.000	1.000	3.000	28.000
i010_2_a__NA_check	i010_2_a__NA_check	(#\d{1,3}) 2 10101	eeg_3	eeg_3_a	10	30100	10101	10	a	NA	check	The bakery did not accept credit cards. Peter didn't have cash so he had to write a check to the owner.	i010_2_a_	norm_4	The bakery did not accept credit cards. Peter didn't have cash so he had to write a	1.000	0.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	[check]	1.000	[check]	[consonant]	1.000	0.000	32.000	32.000	1.000	1.000	[check]	1.000	[check]	[consonant]	1.000	0.000	32.000	32.000	1.000	31.000	0.000
i010_2_an_NA_IOU	i010_2_an_NA_IOU	(#\d{1,3}) 2 10102	eeg_3	eeg_3_b	10	30100	10102	10	an	NA	IOU	The bakery did not accept credit cards. Peter didn't have cash so he had to write an IOU to the owner.	i010_2_an	norm_4	The bakery did not accept credit cards. Peter didn't have cash so he had to write an	0.000	0.000	0.000	0.000	0.000	0.400	0.400	0.000	0.000	0.163	0.186	[check]	0.309	[iou]	[vowel]	0.400	1.000	30.000	55.000	0.163	0.186	[check]	0.309	[IOU]	[vowel]	0.400	1.000	30.000	55.000	1.000	31.000	0.000
i011_2_an_NA_answer	i011_2_an_NA_answer	(#\d{1,3}) 2 10112	eeg_3	eeg_3_a	11	30110	10112	6	an	NA	answer	The student had asked her question five times already. She was still waiting for an answer from the teacher.	i011_2_an	norm_4	The student had asked her question five times already. She was still waiting for an	0.839	0.000	0.871	0.000	0.871	0.968	0.968	0.968	0.968	0.615	0.794	[answer]	0.833	[answer]	[vowel]	0.968	1.000	31.000	36.000	0.615	0.794	[answer]	0.833	[answer]	[vowel]	0.968	1.000	31.000	36.000	1.000	4.000	27.000
i011_2_a__NA_response	i011_2_a__NA_response	(#\d{1,3}) 2 10111	eeg_3	eeg_3_b	11	30110	10111	6	a	NA	response	The student had asked her question five times already. She was still waiting for a response from the teacher.	i011_2_a_	norm_4	The student had asked her question five times already. She was still waiting for a	0.161	0.000	0.129	0.000	0.129	0.548	0.548	0.548	0.548	0.257	0.304	[response]	0.395	[response]	[consonant]	0.548	0.000	31.000	43.000	0.257	0.304	[response]	0.395	[response]	[consonant]	0.548	0.000	31.000	43.000	1.000	4.000	27.000
i012_2_a__NA_letter	i012_2_a__NA_letter	(#\d{1,3}) 2 10121	eeg_3	eeg_3_a	12	30120	10121	8	a	NA	letter	Most of the time Janet kept in touch with people over the phone or with e-mail. She hardly ever sat down to write a letter these days.	i012_2_a_	norm_4	Most of the time Janet kept in touch with people over the phone or with e-mail. She hardly ever sat down to write a	0.742	0.000	0.742	0.226	1.000	0.968	1.000	0.968	1.000	0.748	0.794	[letter]	0.969	[letter]	[consonant]	0.968	1.000	31.000	32.000	0.748	0.794	[letter]	0.969	[letter]	[consonant]	0.968	1.000	31.000	32.000	1.000	31.000	0.000
i012_2_an_NA_inquiry	i012_2_an_NA_inquiry	(#\d{1,3}) 2 10122	eeg_3	eeg_3_b	12	30120	10122	8	an	NA	inquiry	Most of the time Janet kept in touch with people over the phone or with e-mail. She hardly ever sat down to write an inquiry these days.	i012_2_an	norm_4	Most of the time Janet kept in touch with people over the phone or with e-mail. She hardly ever sat down to write an	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.236	0.171	[letter]	0.431	[actual]	[vowel]	0.367	1.000	30.000	65.000	0.236	0.171	[letter]	0.431	[actual]	[vowel]	0.367	1.000	30.000	65.000	1.000	31.000	0.000
i013_2_an_NA_airplane	i013_2_an_NA_airplane	(#\d{1,3}) 2 10132	eeg_3	eeg_3_a	13	30130	10132	11	an	NA	airplane	The idea of flight dates back thousands of years. However the Wright Brothers were the first people to build an airplane that flew.	i013_2_an	norm_4	The idea of flight dates back thousands of years. However the Wright Brothers were the first people to build an	0.774	0.000	0.839	0.000	0.839	0.781	0.812	0.781	0.812	0.327	0.534	[airplane]	0.565	[airplane]	[vowel]	0.781	0.000	32.000	46.000	0.327	0.534	[airplane]	0.565	[airplane]	[vowel]	0.781	0.000	32.000	46.000	1.000	7.000	24.000
i013_2_a__NA_contraption	i013_2_a__NA_contraption	(#\d{1,3}) 2 10131	eeg_3	eeg_3_b	13	30130	10131	11	a	NA	contraption	The idea of flight dates back thousands of years. However the Wright Brothers were the first people to build a contraption that flew.	i013_2_a_	norm_4	The idea of flight dates back thousands of years. However the Wright Brothers were the first people to build a	0.226	0.000	0.000	0.000	0.000	0.000	0.032	0.000	0.032	0.214	0.288	[plane]	0.333	[plane]	[consonant]	0.516	0.000	31.000	51.000	0.214	0.288	[plane]	0.333	[plane]	[consonant]	0.516	0.000	31.000	51.000	1.000	7.000	24.000
i014_2_a__NA_kite	i014_2_a__NA_kite	(#\d{1,3}) 2 10141	eeg_3	eeg_3_a	14	30140	10141	9	a	NA	kite	The day was breezy. The boy decided to go outside and fly a kite in the park.	i014_2_a_	norm_4	The day was breezy. The boy decided to go outside and fly a	0.839	0.000	0.871	0.065	0.968	1.000	1.000	1.000	1.000	1.000	1.000	[kite]	1.000	[kite]	[consonant]	1.000	0.000	32.000	32.000	1.000	1.000	[kite]	1.000	[kite]	[consonant]	1.000	0.000	32.000	32.000	1.000	31.000	0.000
i014_2_an_NA_orbit	i014_2_an_NA_orbit	(#\d{1,3}) 2 10142	eeg_3	eeg_3_b	14	30140	10142	9	an	NA	orbit	The day was breezy. The boy decided to go outside and fly an orbit in the park.	i014_2_an	norm_4	The day was breezy. The boy decided to go outside and fly an	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.193	0.219	[kite]	0.297	[airplane]	[vowel]	0.419	0.000	31.000	64.000	0.193	0.219	[kite]	0.297	[airplane]	[vowel]	0.419	0.000	31.000	64.000	1.000	31.000	0.000
i015_2_an_NA_archaeologist	i015_2_an_NA_archaeologist	(#\d{1,3}) 2 10152	eeg_3	eeg_3_a	15	30150	10152	10	an	NA	archaeologist	Henry's summer internship entailed working in the ruins excavating an ancient tomb. This experience was key to his goal of becoming an archaeologist after finishing school.	i015_2_an	norm_4	Henry's summer internship entailed working in the ruins excavating an ancient tomb. This experience was key to his goal of becoming an	0.935	0.000	0.806	0.000	0.806	0.839	0.839	0.839	0.839	0.501	0.592	[archaeologist]	0.743	[archaeologist]	[vowel]	0.839	1.000	31.000	35.000	0.501	0.592	[archaeologist]	0.743	[archaeologist]	[vowel]	0.839	1.000	31.000	35.000	1.000	2.000	29.000
i015_2_a__NA_scientist	i015_2_a__NA_scientist	(#\d{1,3}) 2 10151	eeg_3	eeg_3_b	15	30150	10151	10	a	NA	scientist	Henry's summer internship entailed working in the ruins excavating an ancient tomb. This experience was key to his goal of becoming a scientist after finishing school.	i015_2_a_	norm_4	Henry's summer internship entailed working in the ruins excavating an ancient tomb. This experience was key to his goal of becoming a	0.065	0.000	0.000	0.000	0.000	0.129	0.129	0.129	0.129	0.136	0.071	[archaeologist]	0.291	[famous]	[consonant]	0.161	0.000	31.000	55.000	0.136	0.071	[archaeologist]	0.291	[famous]	[consonant]	0.161	0.000	31.000	55.000	1.000	2.000	29.000
i016_2_a__NA_helicopter	i016_2_a__NA_helicopter	(#\d{1,3}) 2 10161	eeg_3	eeg_3_a	16	30160	10161	11	a	NA	helicopter	Roger was hired to be the Channel 6 eye-in-the-sky traffic reporter. It would be the first time he had flown in a helicopter since the army.	i016_2_a_	norm_4	Roger was hired to be the Channel 6 eye-in-the-sky traffic reporter. It would be the first time he had flown in a	1.000	0.000	1.000	0.000	1.000	0.938	0.969	0.938	0.969	0.708	0.748	[helicopter]	0.939	[helicopter]	[consonant]	0.938	0.000	32.000	33.000	0.708	0.748	[helicopter]	0.939	[helicopter]	[consonant]	0.938	0.000	32.000	33.000	1.000	31.000	0.000
i016_2_an_NA_aircraft	i016_2_an_NA_aircraft	(#\d{1,3}) 2 10162	eeg_3	eeg_3_b	16	30160	10162	11	an	NA	aircraft	Roger was hired to be the Channel 6 eye-in-the-sky traffic reporter. It would be the first time he had flown in an aircraft since the army.	i016_2_an	norm_4	Roger was hired to be the Channel 6 eye-in-the-sky traffic reporter. It would be the first time he had flown in an	0.000	0.000	0.000	0.000	0.000	0.133	0.133	0.133	0.133	0.161	0.177	[helicopter]	0.273	[airplane]	[vowel]	0.333	1.000	30.000	55.000	0.161	0.177	[helicopter]	0.273	[airplane]	[vowel]	0.333	1.000	30.000	55.000	1.000	31.000	0.000
i017_2_an_NA_echo	i017_2_an_NA_echo	(#\d{1,3}) 2 10172	eeg_3	eeg_3_a	17	30170	10172	9	an	NA	echo	Lola was hiking through a steep canyon surrounded by rock walls. She shouted to see if she would hear an echo call back.	i017_2_an	norm_4	Lola was hiking through a steep canyon surrounded by rock walls. She shouted to see if she would hear an	0.774	0.000	1.000	0.000	1.000	0.968	0.968	0.968	0.968	0.794	0.794	[echo]	0.968	[echo]	[vowel]	0.968	1.000	31.000	31.000	0.794	0.794	[echo]	0.968	[echo]	[vowel]	0.968	1.000	31.000	31.000	1.000	0.000	31.000
i017_2_a__NA_reverberation	i017_2_a__NA_reverberation	(#\d{1,3}) 2 10171	eeg_3	eeg_3_b	17	30170	10171	9	a	NA	reverberation	Lola was hiking through a steep canyon surrounded by rock walls. She shouted to see if she would hear a reverberation call back.	i017_2_a_	norm_4	Lola was hiking through a steep canyon surrounded by rock walls. She shouted to see if she would hear a	0.000	0.000	0.000	0.000	0.000	0.032	0.032	0.032	0.032	0.160	0.162	[echo]	0.271	[loud]	[consonant]	0.355	0.000	31.000	70.000	0.160	0.162	[echo]	0.271	[loud]	[consonant]	0.355	0.000	31.000	70.000	1.000	0.000	31.000
i018_2_a__NA_bird	i018_2_a__NA_bird	(#\d{1,3}) 2 10181	eeg_3	eeg_3_a	18	30180	10181	11	a	NA	bird	From a distance we couldn't tell if the object in the sky was an airplane. When it flapped its wings we realized it was just a bird in the clouds.	i018_2_a_	norm_4	From a distance we couldn't tell if the object in the sky was an airplane. When it flapped its wings we realized it was just a	1.000	0.000	0.968	0.000	0.968	0.781	0.875	0.781	0.875	0.460	0.534	[bird]	0.800	[bird]	[consonant]	0.781	0.000	32.000	35.000	0.460	0.534	[bird]	0.800	[bird]	[consonant]	0.781	0.000	32.000	35.000	1.000	31.000	0.000
i018_2_an_NA_eagle	i018_2_an_NA_eagle	(#\d{1,3}) 2 10182	eeg_3	eeg_3_b	18	30180	10182	11	an	NA	eagle	From a distance we couldn't tell if the object in the sky was an airplane. When it flapped its wings we realized it was just an eagle in the clouds.	i018_2_an	norm_4	From a distance we couldn't tell if the object in the sky was an airplane. When it flapped its wings we realized it was just an	0.000	0.000	0.000	0.000	0.000	0.567	0.567	0.567	0.600	0.258	0.309	[eagle]	0.474	[eagle]	[vowel]	0.567	1.000	30.000	38.000	0.258	0.309	[eagle]	0.447	[eagle]	[vowel]	0.567	1.000	30.000	38.000	1.000	31.000	0.000
i019_2_an_NA_angel	i019_2_an_NA_angel	(#\d{1,3}) 2 10192	eeg_3	eeg_3_a	19	30190	10192	8	an	NA	angel	The most important parts of Tracy's costume were the halo and wings. This year she was dressing up as an angel for Halloween.	i019_2_an	norm_4	The most important parts of Tracy's costume were the halo and wings. This year she was dressing up as an	1.000	0.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	[angel]	1.000	[angel]	[vowel]	1.000	1.000	31.000	31.000	1.000	1.000	[angel]	1.000	[angel]	[vowel]	1.000	1.000	31.000	31.000	1.000	0.000	31.000
i019_2_a__NA_saint	i019_2_a__NA_saint	(#\d{1,3}) 2 10191	eeg_3	eeg_3_b	19	30190	10191	8	a	NA	saint	The most important parts of Tracy's costume were the halo and wings. This year she was dressing up as a saint for Halloween.	i019_2_a_	norm_4	The most important parts of Tracy's costume were the halo and wings. This year she was dressing up as a	0.000	0.000	0.000	0.000	0.000	0.067	0.067	0.067	0.067	0.271	0.142	[angel]	0.448	[beautiful]	[consonant]	0.333	1.000	30.000	58.000	0.259	0.142	[angel]	0.431	[beautiful]	[consonant]	0.333	1.000	30.000	58.000	1.000	0.000	31.000
i020_2_a__NA_bell	i020_2_a__NA_bell	(#\d{1,3}) 2 10201	eeg_3	eeg_3_a	20	30200	10201	11	a	NA	bell	The church in the village has a clock on the outside of its tower. Inside the tower attached to a long rope there is a bell made of lead.	i020_2_a_	norm_4	The church in the village has a clock on the outside of its tower. Inside the tower attached to a long rope there is a	0.968	0.000	0.968	0.032	1.000	0.844	0.875	0.844	0.875	0.589	0.618	[bell]	0.848	[bell]	[consonant]	0.844	0.000	32.000	33.000	0.589	0.618	[bell]	0.848	[bell]	[consonant]	0.844	0.000	32.000	33.000	1.000	31.000	0.000
i020_2_an_NA_anchor	i020_2_an_NA_anchor	(#\d{1,3}) 2 10202	eeg_3	eeg_3_b	20	30200	10202	11	an	NA	anchor	The church in the village has a clock on the outside of its tower. Inside the tower attached to a long rope there is an anchor made of lead.	i020_2_an	norm_4	The church in the village has a clock on the outside of its tower. Inside the tower attached to a long rope there is an	0.000	0.000	0.000	0.000	0.000	0.033	0.033	0.033	0.033	0.222	0.192	[bell]	0.391	[enormous]	[vowel]	0.333	1.000	30.000	64.000	0.222	0.192	[bell]	0.344	[enormous]	[vowel]	0.333	1.000	30.000	64.000	1.000	31.000	0.000
i021_2_an_NA_octopus	i021_2_an_NA_octopus	(#\d{1,3}) 2 10212	eeg_3	eeg_3_a	21	30210	10212	10	an	NA	octopus	The scuba diver saw a tentacle and started to swim away. He realized that the creature under the rock was an octopus in hiding.	i021_2_an	norm_4	The scuba diver saw a tentacle and started to swim away. He realized that the creature under the rock was an	0.871	0.000	0.806	0.000	0.806	0.742	0.806	0.742	0.806	0.360	0.496	[octopus]	0.641	[octopus]	[vowel]	0.742	1.000	31.000	39.000	0.360	0.496	[octopus]	0.641	[octopus]	[vowel]	0.742	1.000	31.000	39.000	1.000	4.000	27.000
i021_2_a__NA_squid	i021_2_a__NA_squid	(#\d{1,3}) 2 10211	eeg_3	eeg_3_b	21	30210	10211	10	a	NA	squid	The scuba diver saw a tentacle and started to swim away. He realized that the creature under the rock was a squid in hiding.	i021_2_a_	norm_4	The scuba diver saw a tentacle and started to swim away. He realized that the creature under the rock was a	0.097	0.000	0.097	0.000	0.097	0.419	0.452	0.419	0.452	0.195	0.199	[squid]	0.298	[squid]	[consonant]	0.419	0.000	31.000	47.000	0.195	0.199	[squid]	0.298	[squid]	[consonant]	0.419	0.000	31.000	47.000	1.000	4.000	27.000
i022_2_a__NA_fish	i022_2_a__NA_fish	(#\d{1,3}) 2 10221	eeg_3	eeg_3_a	22	30220	10221	12	a	NA	fish	Marge hated baiting the hook. But she knew that it was the only way to catch a fish without a lure.	i022_2_a_	norm_4	Marge hated baiting the hook. But she knew that it was the only way to catch a	0.742	0.226	0.968	0.226	0.968	0.935	1.000	0.935	1.000	0.587	0.655	[fish]	0.939	[fish]	[consonant]	0.935	1.000	31.000	33.000	0.587	0.655	[fish]	0.939	[fish]	[consonant]	0.935	1.000	31.000	33.000	1.000	30.000	1.000
