Index	item_id	regexp	expt	list_id	stim_idx	s1_code	noun_code	noun_pos	article	adjective	noun	eeg_stim	item_id_pfx	expt_id	stim	orth_article_initial_cloze	orth_NA_noun_initial_cloze	orth_NA_noun_anywhere_cloze	lemma_NA_noun_initial_cloze	lemma_NA_noun_anywhere_cloze	orth_ART_noun_initial_cloze	orth_ART_noun_anywhere_cloze	lemma_ART_noun_initial_cloze	lemma_ART_noun_anywhere_cloze	lemma_context_anywhere_info	lemma_context_initial_info	lemma_modal_anywhere	lemma_modal_anywhere_cloze	lemma_modal_initial	lemma_modal_initial_character_classes	lemma_modal_initial_cloze	lemma_n_NAs	lemma_n_responses	lemma_n_strings	orth_context_anywhere_info	orth_context_initial_info	orth_modal_anywhere	orth_modal_anywhere_cloze	orth_modal_initial	orth_modal_initial_character_classes	orth_modal_initial_cloze	orth_n_NAs	orth_n_responses	orth_n_strings	topic_n_NA	topic_n_consonants	topic_n_vowels
i004_2_an_unripe_banana	i004_2_an_unripe_banana	(#\d{1,3}) 1 \d{1,3} 2 10047	eeg_2	eeg_2_d	4	30040	10047	11	an	unripe	banana	The trainer rewarded the animals with their favorite foods. The otter got a fish and the monkey got an unripe banana as a treat.	i004_2_an	norm_4	The trainer rewarded the animals with their favorite foods. The otter got a fish and the monkey got an	0.000	0.000	0.871	0.097	0.968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
i005_2_a__thick_accent	i005_2_a__thick_accent	(#\d{1,3}) 1 \d{1,3} 2 10058	eeg_2	eeg_2_a	5	30050	10058	9	a	thick	accent	It was difficult to understand the visiting professor. Like many foreign speakers he spoke with a thick accent when conversing in English.	i005_2_a_	norm_4	It was difficult to understand the visiting professor. Like many foreign speakers he spoke with a	0.258	0.000	0.968	0.000	0.968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
i005_2_an_NA_accent	i005_2_an_NA_accent	(#\d{1,3}) 2 10051	eeg_2	eeg_2_b	5	30050	10051	8	an	NA	accent	It was difficult to understand the visiting professor. Like many foreign speakers he spoke with an accent when conversing in English.	i005_2_an	norm_4	It was difficult to understand the visiting professor. Like many foreign speakers he spoke with an	0.742	0.000	0.968	0.000	0.968	0.903	1.000	0.903	1.000	0.574	0.694	[accent]	0.912	[accent]	[vowel]	0.903	1.000	31.000	34.000	0.574	0.694	[accent]	0.912	[accent]	[vowel]	0.903	1.000	31.000	34.000	1.000	1.000	30.000
i005_2_a__NA_lisp	i005_2_a__NA_lisp	(#\d{1,3}) 2 10054	eeg_2	eeg_2_c	5	30050	10054	8	a	NA	lisp	It was difficult to understand the visiting professor. Like many foreign speakers he spoke with a lisp when conversing in English.	i005_2_a_	norm_4	It was difficult to understand the visiting professor. Like many foreign speakers he spoke with a	0.258	0.000	0.000	0.000	0.000	0.065	0.065	0.065	0.065	0.316	0.188	[accent]	0.483	[thick]	[consonant]	0.355	0.000	31.000	60.000	0.316	0.188	[accent]	0.483	[thick]	[consonant]	0.355	0.000	31.000	60.000	1.000	1.000	30.000
i005_2_an_NA_apron	i005_2_an_NA_apron	(#\d{1,3}) 2 10055	eeg_2	eeg_2_d	5	30050	10055	8	an	NA	apron	It was difficult to understand the visiting professor. Like many foreign speakers he spoke with an apron when conversing in English.	i005_2_an	norm_4	It was difficult to understand the visiting professor. Like many foreign speakers he spoke with an	0.742	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.574	0.694	[accent]	0.912	[accent]	[vowel]	0.903	1.000	31.000	34.000	0.574	0.694	[accent]	0.912	[accent]	[vowel]	0.903	1.000	31.000	34.000	1.000	1.000	30.000
i006_2_an_evident_lisp	i006_2_an_evident_lisp	(#\d{1,3}) 1 \d{1,3} 2 10067	eeg_2	eeg_2_a	6	30060	10067	9	an	evident	lisp	"Katie did not like to say words with the letter ""s"". She was embarrassed because she spoke with an evident lisp that was noticeable."	i006_2_an	norm_4	"Katie did not like to say words with the letter ""s"". She was embarrassed because she spoke with an"	0.032	0.000	0.871	0.000	0.871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
i006_2_a__NA_lisp	i006_2_a__NA_lisp	(#\d{1,3}) 2 10062	eeg_2	eeg_2_b	6	30060	10062	8	a	NA	lisp	"Katie did not like to say words with the letter ""s"". She was embarrassed because she spoke with a lisp that was noticeable."	i006_2_a_	norm_4	"Katie did not like to say words with the letter ""s"". She was embarrassed because she spoke with a"	0.968	0.000	0.871	0.000	0.871	0.935	0.968	0.935	0.968	0.701	0.742	[lisp]	0.938	[lisp]	[consonant]	0.935	1.000	31.000	32.000	0.701	0.742	[lisp]	0.938	[lisp]	[consonant]	0.935	1.000	31.000	32.000	1.000	30.000	1.000
i006_2_an_NA_accent	i006_2_an_NA_accent	(#\d{1,3}) 2 10063	eeg_2	eeg_2_c	6	30060	10063	8	an	NA	accent	"Katie did not like to say words with the letter ""s"". She was embarrassed because she spoke with an accent that was noticeable."	i006_2_an	norm_4	"Katie did not like to say words with the letter ""s"". She was embarrassed because she spoke with an"	0.032	0.000	0.032	0.000	0.032	0.161	0.161	0.161	0.161	0.223	0.104	[lisp]	0.386	[obvious]	[vowel]	0.226	0.000	31.000	57.000	0.223	0.104	[lisp]	0.386	[obvious]	[vowel]	0.226	0.000	31.000	57.000	1.000	30.000	1.000
i006_2_a__NA_microphone	i006_2_a__NA_microphone	(#\d{1,3}) 2 10066	eeg_2	eeg_2_d	6	30060	10066	8	a	NA	microphone	"Katie did not like to say words with the letter ""s"". She was embarrassed because she spoke with a microphone that was noticeable."	i006_2_a_	norm_4	"Katie did not like to say words with the letter ""s"". She was embarrassed because she spoke with a"	0.968	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.701	0.742	[lisp]	0.938	[lisp]	[consonant]	0.935	1.000	31.000	32.000	0.701	0.742	[lisp]	0.938	[lisp]	[consonant]	0.935	1.000	31.000	32.000	1.000	30.000	1.000
i007_2_a__frilly_apron	i007_2_a__frilly_apron	(#\d{1,3}) 1 \d{1,3} 2 10078	eeg_2	eeg_2_a	7	30070	10078	8	a	frilly	apron	Jesse did not want to splatter grease on her new blouse while she was cooking. To protect her clothes she wore a frilly apron over her suit.	i007_2_a_	norm_4	Jesse did not want to splatter grease on her new blouse while she was cooking. To protect her clothes she wore a	0.032	0.000	0.968	0.000	0.968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
i007_2_an_NA_apron	i007_2_an_NA_apron	(#\d{1,3}) 2 10071	eeg_2	eeg_2_b	7	30070	10071	7	an	NA	apron	Jesse did not want to splatter grease on her new blouse while she was cooking. To protect her clothes she wore an apron over her suit.	i007_2_an	norm_4	Jesse did not want to splatter grease on her new blouse while she was cooking. To protect her clothes she wore an	0.968	0.000	0.968	0.000	0.968	0.938	0.938	0.938	0.938	0.708	0.748	[apron]	0.909	[apron]	[vowel]	0.938	0.000	32.000	33.000	0.708	0.748	[apron]	0.909	[apron]	[vowel]	0.938	0.000	32.000	33.000	1.000	1.000	30.000
i007_2_a__NA_microphone	i007_2_a__NA_microphone	(#\d{1,3}) 2 10074	eeg_2	eeg_2_c	7	30070	10074	7	a	NA	microphone	Jesse did not want to splatter grease on her new blouse while she was cooking. To protect her clothes she wore a microphone over her suit.	i007_2_a_	norm_4	Jesse did not want to splatter grease on her new blouse while she was cooking. To protect her clothes she wore a	0.032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.137	0.037	[apron]	0.338	[white]	[consonant]	0.129	0.000	31.000	71.000	0.137	0.037	[apron]	0.338	[white]	[consonant]	0.129	0.000	31.000	71.000	1.000	1.000	30.000
i007_2_an_NA_accent	i007_2_an_NA_accent	(#\d{1,3}) 2 10075	eeg_2	eeg_2_d	7	30070	10075	7	an	NA	accent	Jesse did not want to splatter grease on her new blouse while she was cooking. To protect her clothes she wore an accent over her suit.	i007_2_an	norm_4	Jesse did not want to splatter grease on her new blouse while she was cooking. To protect her clothes she wore an	0.968	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.708	0.748	[apron]	0.909	[apron]	[vowel]	0.938	0.000	32.000	33.000	0.708	0.748	[apron]	0.909	[apron]	[vowel]	0.938	0.000	32.000	33.000	1.000	1.000	30.000
i008_2_an_attachable_microphone	i008_2_an_attachable_microphone	(#\d{1,3}) 1 \d{1,3} 2 10087	eeg_2	eeg_2_a	8	30080	10087	11	an	attachable	microphone	Laura wasn't loud enough to be heard by the audience. To amplify her voice they asked her to wear an attachable microphone on stage.	i008_2_an	norm_4	Laura wasn't loud enough to be heard by the audience. To amplify her voice they asked her to wear an	0.000	0.000	1.000	0.000	1.000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
i008_2_a__NA_microphone	i008_2_a__NA_microphone	(#\d{1,3}) 2 10082	eeg_2	eeg_2_b	8	30080	10082	10	a	NA	microphone	Laura wasn't loud enough to be heard by the audience. To amplify her voice they asked her to wear a microphone on stage.	i008_2_a_	norm_4	Laura wasn't loud enough to be heard by the audience. To amplify her voice they asked her to wear a	1.000	0.000	1.000	0.000	1.000	0.906	0.938	0.906	0.938	0.666	0.701	[microphone]	0.909	[microphone]	[consonant]	0.906	0.000	32.000	33.000	0.666	0.701	[microphone]	0.909	[microphone]	[consonant]	0.906	0.000	32.000	33.000	1.000	31.000	0.000
i008_2_an_NA_apron	i008_2_an_NA_apron	(#\d{1,3}) 2 10083	eeg_2	eeg_2_c	8	30080	10083	10	an	NA	apron	Laura wasn't loud enough to be heard by the audience. To amplify her voice they asked her to wear an apron on stage.	i008_2_an	norm_4	Laura wasn't loud enough to be heard by the audience. To amplify her voice they asked her to wear an	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.177	0.053	[microphone]	0.369	[amplify]	[vowel]	0.167	1.000	30.000	65.000	0.177	0.053	[microphone]	0.369	[amplifying]	[vowel]	0.167	1.000	30.000	65.000	1.000	31.000	0.000
i008_2_a__NA_lisp	i008_2_a__NA_lisp	(#\d{1,3}) 2 10086	eeg_2	eeg_2_d	8	30080	10086	10	a	NA	lisp	Laura wasn't loud enough to be heard by the audience. To amplify her voice they asked her to wear a lisp on stage.	i008_2_a_	norm_4	Laura wasn't loud enough to be heard by the audience. To amplify her voice they asked her to wear a	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.666	0.701	[microphone]	0.909	[microphone]	[consonant]	0.906	0.000	32.000	33.000	0.666	0.701	[microphone]	0.909	[microphone]	[consonant]	0.906	0.000	32.000	33.000	1.000	31.000	0.000
i009_2_an_NA_answer	i009_2_an_NA_answer	(#\d{1,3}) 2 10095	eeg_2	eeg_2_a	9	30090	10095	6	an	NA	answer	Dale was very sorry for what he had said to Bernadette. He knew he owed her an answer because she was upset.	i009_2_an	norm_4	Dale was very sorry for what he had said to Bernadette. He knew he owed her an	0.871	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.794	0.794	[apology]	0.968	[apology]	[vowel]	0.968	1.000	31.000	31.000	0.794	0.794	[apology]	0.968	[apology]	[vowel]	0.968	1.000	31.000	31.000	1.000	3.000	28.000
i009_2_a__sincere_apology	i009_2_a__sincere_apology	(#\d{1,3}) 1 \d{1,3} 2 10098	eeg_2	eeg_2_b	9	30090	10098	7	a	sincere	apology	Dale was very sorry for what he had said to Bernadette. He knew he owed her a sincere apology because she was upset.	i009_2_a_	norm_4	Dale was very sorry for what he had said to Bernadette. He knew he owed her a	0.032	0.000	0.871	0.000	0.871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
i009_2_an_NA_apology	i009_2_an_NA_apology	(#\d{1,3}) 2 10091	eeg_2	eeg_2_c	9	30090	10091	6	an	NA	apology	Dale was very sorry for what he had said to Bernadette. He knew he owed her an apology because she was upset.	i009_2_an	norm_4	Dale was very sorry for what he had said to Bernadette. He knew he owed her an	0.871	0.000	0.871	0.000	0.871	0.968	0.968	0.968	0.968	0.794	0.794	[apology]	0.968	[apology]	[vowel]	0.968	1.000	31.000	31.000	0.794	0.794	[apology]	0.968	[apology]	[vowel]	0.968	1.000	31.000	31.000	1.000	3.000	28.000
i009_2_a__NA_check	i009_2_a__NA_check	(#\d{1,3}) 2 10094	eeg_2	eeg_2_d	9	30090	10094	6	a	NA	check	Dale was very sorry for what he had said to Bernadette. He knew he owed her a check because she was upset.	i009_2_a_	norm_4	Dale was very sorry for what he had said to Bernadette. He knew he owed her a	0.032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.263	0.165	[apology]	0.419	[sincere]	[consonant]	0.333	1.000	30.000	62.000	0.263	0.165	[apology]	0.419	[sincere]	[consonant]	0.333	1.000	30.000	62.000	1.000	3.000	28.000
i010_2_a__NA_letter	i010_2_a__NA_letter	(#\d{1,3}) 2 10106	eeg_2	eeg_2_a	10	30100	10106	10	a	NA	letter	The bakery did not accept credit cards. Peter didn't have cash so he had to write a letter to the owner.	i010_2_a_	norm_4	The bakery did not accept credit cards. Peter didn't have cash so he had to write a	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000	[check]	1.000	[check]	[consonant]	1.000	0.000	32.000	32.000	1.000	1.000	[check]	1.000	[check]	[consonant]	1.000	0.000	32.000	32.000	1.000	31.000	0.000
i010_2_an_illegal_check	i010_2_an_illegal_check	(#\d{1,3}) 1 \d{1,3} 2 10107	eeg_2	eeg_2_b	10	30100	10107	11	an	illegal	check	The bakery did not accept credit cards. Peter didn't have cash so he had to write an illegal check to the owner.	i010_2_an	norm_4	The bakery did not accept credit cards. Peter didn't have cash so he had to write an	0.000	0.000	1.000	0.000	1.000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
i010_2_a__NA_check	i010_2_a__NA_check	(#\d{1,3}) 2 10102	eeg_2	eeg_2_c	10	30100	10102	10	a	NA	check	The bakery did not accept credit cards. Peter didn't have cash so he had to write a check to the owner.	i010_2_a_	norm_4	The bakery did not accept credit cards. Peter didn't have cash so he had to write a	1.000	0.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	[check]	1.000	[check]	[consonant]	1.000	0.000	32.000	32.000	1.000	1.000	[check]	1.000	[check]	[consonant]	1.000	0.000	32.000	32.000	1.000	31.000	0.000
i010_2_an_NA_apology	i010_2_an_NA_apology	(#\d{1,3}) 2 10103	eeg_2	eeg_2_d	10	30100	10103	10	an	NA	apology	The bakery did not accept credit cards. Peter didn't have cash so he had to write an apology to the owner.	i010_2_an	norm_4	The bakery did not accept credit cards. Peter didn't have cash so he had to write an	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.163	0.186	[check]	0.309	[iou]	[vowel]	0.400	1.000	30.000	55.000	0.163	0.186	[check]	0.309	[IOU]	[vowel]	0.400	1.000	30.000	55.000	1.000	31.000	0.000
i011_2_an_NA_apology	i011_2_an_NA_apology	(#\d{1,3}) 2 10115	eeg_2	eeg_2_a	11	30110	10115	6	an	NA	apology	The student had asked her question five times already. She was still waiting for an apology from the teacher	i011_2_an	norm_4	The student had asked her question five times already. She was still waiting for an	0.839	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.615	0.794	[answer]	0.833	[answer]	[vowel]	0.968	1.000	31.000	36.000	0.615	0.794	[answer]	0.833	[answer]	[vowel]	0.968	1.000	31.000	36.000	1.000	4.000	27.000
i011_2_a__straightforward_answer	i011_2_a__straightforward_answer	(#\d{1,3}) 1 \d{1,3} 2 10118	eeg_2	eeg_2_b	11	30110	10118	7	a	straightforward	answer	The student had asked her question five times already. She was still waiting for a straightforward answer from the teacher	i011_2_a_	norm_4	The student had asked her question five times already. She was still waiting for a	0.161	0.000	0.871	0.000	0.871	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
i011_2_an_NA_answer	i011_2_an_NA_answer	(#\d{1,3}) 2 10111	eeg_2	eeg_2_c	11	30110	10111	6	an	NA	answer	The student had asked her question five times already. She was still waiting for an answer from the teacher	i011_2_an	norm_4	The student had asked her question five times already. She was still waiting for an	0.839	0.000	0.871	0.000	0.871	0.968	0.968	0.968	0.968	0.615	0.794	[answer]	0.833	[answer]	[vowel]	0.968	1.000	31.000	36.000	0.615	0.794	[answer]	0.833	[answer]	[vowel]	0.968	1.000	31.000	36.000	1.000	4.000	27.000
i011_2_a__NA_letter	i011_2_a__NA_letter	(#\d{1,3}) 2 10114	eeg_2	eeg_2_d	11	30110	10114	6	a	NA	letter	The student had asked her question five times already. She was still waiting for a letter from the teacher	i011_2_a_	norm_4	The student had asked her question five times already. She was still waiting for a	0.161	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.257	0.304	[response]	0.395	[response]	[consonant]	0.548	0.000	31.000	43.000	0.257	0.304	[response]	0.395	[response]	[consonant]	0.548	0.000	31.000	43.000	1.000	4.000	27.000
